company,type,period,core_ratio,comprehensive_ratio,irr_rating,source,confidence
人身险公司,行业分类,2024Q3,119.5,188.9,,https://finance.sina.com.cn/money/insurance/bxdt/2024-11-22/doc-incwxsyk0663626.shtml,高
再保险公司,行业分类,2024Q3,230.1,262.7,,https://finance.sina.com.cn/money/insurance/bxdt/2024-11-22/doc-incwxsyk0663626.shtml,高
全行业,行业平均,2024Q4,139.1,199.4,,https://m.bbtnews.com.cn/content/da/a2/434148.html,高
财产险公司,行业分类,2024Q4,209.2,238.5,,https://m.bbtnews.com.cn/content/da/a2/434148.html,高
人身险公司,行业分类,2024Q4,123.8,190.5,,https://m.bbtnews.com.cn/content/da/a2/434148.html,高
再保险公司,行业分类,2024Q4,221.2,254.2,,https://m.bbtnews.com.cn/content/da/a2/434148.html,高
全行业,行业平均,2025Q1,146.5,204.5,,https://finance.sina.com.cn/jjxw/2025-05-16/doc-inewueca6113424.shtml,高
财产险公司,行业分类,2025Q1,209.5,239.3,,https://finance.sina.com.cn/jjxw/2025-05-16/doc-inewueca6113424.shtml,高
人身险公司,行业分类,2025Q1,132.8,196.6,,https://finance.sina.com.cn/jjxw/2025-05-16/doc-inewueca6113424.shtml,高
再保险公司,行业分类,2025Q1,221.6,255,,https://finance.sina.com.cn/jjxw/2025-05-16/doc-inewueca6113424.shtml,高
全行业,行业平均,2025Q3,134.3,186.3,,https://finance.sina.com.cn/jjxw/2025-11-14/doc-infxkhus9159772.shtml,高
财产险公司,行业分类,2025Q3,212.9,240.8,,https://finance.sina.com.cn/jjxw/2025-11-14/doc-infxkhus9159772.shtml,高
人身险公司,行业分类,2025Q3,118.9,175.5,,https://finance.sina.com.cn/jjxw/2025-11-14/doc-infxkhus9159772.shtml,高
再保险公司,行业分类,2025Q3,216.7,246.2,,https://finance.sina.com.cn/jjxw/2025-11-14/doc-infxkhus9159772.shtml,高
全行业,行业平均,2025Y,130.4,181.1,,https://finance.sina.com.cn/roll/2026-02-18/doc-inhnfihm5225428.shtml,高
财产险公司,行业分类,2025Y,212.7,243.5,,https://finance.sina.com.cn/roll/2026-02-18/doc-inhnfihm5225428.shtml,高
人身险公司,行业分类,2025Y,115,169.3,,https://finance.sina.com.cn/roll/2026-02-18/doc-inhnfihm5225428.shtml,高
再保险公司,行业分类,2025Y,212.5,244.6,,https://finance.sina.com.cn/roll/2026-02-18/doc-inhnfihm5225428.shtml,高
全行业,行业平均,2026Q1,131.9,181,,https://www.21jingji.com/article/20260515/herald/41cace80c385c3b8d1e144d31682c162.html,高
财产险公司,行业分类,2026Q1,210.6,242.6,,https://riskbao.com/insurers/caichan-gongsi/rank-2026.html,中
人身险公司,行业分类,2026Q1,118.1,170.7,,https://riskbao.com/insurers/renshen-gongsi/rank-2026.html,中
再保险公司,行业分类,2026Q1,179.8,207.4,,(綜合多方報導估算),中
全行业,行业平均,2026Q2,133.5,180.6,,https://www.nbd.com.cn/articles/2026-08-14/4542350.html,高
财产险公司,行业分类,2026Q2,214.3,247,,https://www.nbd.com.cn/articles/2026-08-14/4542350.html,高
人身险公司,行业分类,2026Q2,119.6,169.7,,https://www.nbd.com.cn/articles/2026-08-14/4542350.html,高
再保险公司,行业分类,2026Q2,188.2,213.2,,https://www.nbd.com.cn/articles/2026-08-14/4542350.html,高
中国人寿(集团口径),寿险,2026Q1,156.87,202.31,,https://zhuanlan.zhihu.com/p/2042548154600510331(經搜尋摘要),中
中国人寿(集团口径),寿险,2025Q2,,190.94,,(搜尋摘要交叉引用),中
太保寿险,寿险,2026Q1,146,214,,https://zhuanlan.zhihu.com/p/2042548154600510331(經搜尋摘要),中
太保寿险,寿险,2025Q2,,215,,(搜尋摘要交叉引用),中
新华保险,寿险,2026Q1,130.55,204.41,,https://zhuanlan.zhihu.com/p/2042548154600510331(經搜尋摘要),中
新华保险,寿险,2025Q2,,256.01,,(搜尋摘要交叉引用),中
泰康人寿,寿险,2026Q1,160.15,235.61,,https://zhuanlan.zhihu.com/p/2042548154600510331(經搜尋摘要),中
泰康人寿,寿险,2025Q2,224.38,321.2,,(搜尋摘要交叉引用),中
友邦人寿(中国),寿险,2026Q1,,307.22,,https://zhuanlan.zhihu.com/p/2042548154600510331(經搜尋摘要),中
平安人寿,寿险,2025Q2,,229.43,,(搜尋摘要交叉引用),中
太平人寿,寿险,2025Q3,155.55,247.69,,https://www.cntaiping.com/upload/cms/life/202510/28203649grid.pdf,中
中邮人寿,寿险,2025Q1,93.94,,,https://www.guancha.cn/GuanJinRong/2026_05_30_818835.shtml,中
中邮人寿,寿险,2026Q1,96.98,129.7,,https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?contentId=3300427,中
阳光人寿,寿险,2025Q3,133.52,193.99,AA,https://www.lhratings.com/reports/A003104-P74965-2024.pdf(相關系列公告),中
中国人保集团,集团,2025Y,201.3,249.9,,https://finance.cnr.cn/ycbd/20260328/t20260328_527565330.shtml,高
人保财险,财险,2026Q1,216,238,,https://riskbao.com/insurers/caichan-gongsi/rank-2026.html,中
太保产险,财险,2026Q1,,237.5,,https://riskbao.com/insurers/caichan-gongsi/rank-2026.html,中
中华联合财险,财险,2026Q1,130.79,215.9,,https://riskbao.com/insurers/caichan-gongsi/rank-2026.html,中
大地保险,财险,2026Q1,247,277,,https://riskbao.com/insurers/caichan-gongsi/rank-2026.html,中
阳光财险,财险,2026Q1,182.04,252.18,,https://riskbao.com/insurers/caichan-gongsi/rank-2026.html,中
众安在线,财险,2025Y,,242,,https://finance.cnr.cn/zghq/20260319/t20260319_527556602.shtml,中
长生人寿,寿险,2026Q2,45.4,55.5,不达标(量化指标),https://baijiahao.baidu.com/s?id=1873921448283567239,高
安华农险,财险,2026Q2,,,C,https://insurance.jrj.com.cn/2026/05/14083057087677.shtml,高
前海财险,财险,2026Q2,,,C,https://insurance.jrj.com.cn/2026/05/14083057087677.shtml,高
亚太财险,财险,2026Q2,,,C,https://insurance.jrj.com.cn/2026/05/14083057087677.shtml,高
华汇人寿,寿险,2026Q2,,,C,https://insurance.jrj.com.cn/2026/05/14083057087677.shtml,高
北大方正人寿,寿险,2023Q1,19.77,39.53,D,https://insurance.jrj.com.cn/2023/02/25191837361800.shtml,高
君康人寿,寿险,2020Q3,102.47,102.47,C,(搜尋摘要),中
三峡人寿,寿险,2024Q1,124.9,170.81,D,(搜尋摘要),中
百年人寿,寿险,2023Q1,64.43,102.59,,(搜尋摘要),中
中融人寿,寿险,2015Q3,,-115.95,,(搜尋摘要),中
中融人寿,寿险,2022H1(净资产-41.12亿元人民幣;資不抵債),,,,搜尋摘要交叉引用,中
长安责任保险,财险,2023Q3,-132.48,-132.48,D,(搜尋摘要),中
渤海财险,财险,2022Q1,,112.38,C,(搜尋摘要),中
小康人寿(原中法人寿),寿险,2024Y,310.88,310.88,BBB,(搜尋摘要),中
信泰人寿,寿险,2023Q3,106.27,121.88,,(搜尋摘要),中
信泰人寿,寿险,2024Y,117.49,132.48,,(搜尋摘要),中
富德生命人寿,寿险,2021Q4,87,103,,(搜尋摘要;此後連續4年未披露),中
