company,type,first_flagged,indicator_at_flag,reason,followup,status_2026,source
安邦保险集团(含安邦人寿/安邦财险),寿险+财险集团,2018年2月,监管认定其違規經營可能嚴重危及公司償付能力,股东问题、关联交易、激进经营、虚假出资嫌疑,2018年2月原保监会接管（期限一年、后延长）；2019年7月大家保险集团注册成立（注册资本203.6亿元，保险保障基金、中石油、上汽出资）承接安邦人寿、安邦养老、安邦资产股权；另设大家财险承接安邦财险部分业务；2020年2月接管结束，安邦集团及安邦财险解散清算，大家保险集团恢复正常经营能力,原監管報告及多方報導交叉引用,高
百年人寿,寿险,2022年（净亏损27.1亿元）／2023Q1（净资产转负）,2023Q1综合偿付能力充足率102.59%、核心64.43%,大股东万达集团房地产风险传导、激进投资致净资产由正转负（2023Q1净资产-4.2亿元）资不抵债,2024年大连市国资平台“大连金运”（大连市财政局全资控股）通过增资入股+股权受让成为第一大股东（持股11.51%）；2023年一季报后连续停止披露偿付能力报告及年报,2025-2026年：已连续两年以上未披露任何偿付能力报告、年报；280亿元关联交易被曝光；国资入股尚未转化为经营层面明显改善,https://news.qq.com/rain/a/20241105A03PW100,中
北大方正人寿,寿险,2022-2023年之交,2023Q1风险综合评级D级；核心偿付能力充足率19.77%、综合39.53%,大股东北大方正集团破产重整导致股权变更；经营连年巨亏（2022-2024年三年累计亏损近30亿元）,2022年12月股权转让获批，新方正控股发展（51%）、明治安田（29.24%）、海尔金控（19.76%）成为新股东；三大股东拟共计增资17亿元补充资本,2026Q1数据显示北大方正人寿综合偿付能力充足率仍低于120%（与幸福人寿并列监管关注名单），尚未完全脱离薄弱状态,https://finance.sina.com.cn/money/insurance/bxyx/2023-09-25/doc-imznwtpn9183370.shtml,中
幸福人寿,寿险,约2019-2020年（评级机构下调评级）,多家评级机构下调幸福人寿主体信用评级,大股东中国信达（资产管理公司性质）非保险产业资本、经营持续承压,2020年7月中国信达将所持50.995%股权转让予诚泰保险（30%）及东莞交投（20.995%），幸福人寿脱离信达系,2026Q1数据显示综合偿付能力充足率仍低于120%（与北大方正人寿并列）,https://m.thepaper.cn/detail/27893004,中
富德生命人寿（原生命人寿）,寿险,2021年四季度（最后一次披露）,综合偿付能力充足率103%、核心87%（逼近监管红线）,2015年万能险冲规模成保费第三大寿险公司（1651.94亿元）；2016年监管收紧万能险新规叠加实际控制人张峻被调查，保费持续下滑,2021年后连续4年（2021-2025）未披露偿付能力报告及年度报告；2023年4月因上一年度资产负债管理能力评估不利，股权投资管理和不动产投资管理能力暂时不达标,截至2025年末仍连续4年以上未披露官方偿付能力数据，市场普遍认为财务状况堪忧，但因未披露无法列入官方不达标名单,https://finance.sina.com.cn/money/insurance/bxyx/2025-12-15/doc-inhawiac3870419.shtml,中
上海人寿,寿险,2018年（增资不满两年核心偿付能力即下滑）,核心偿付能力充足率跌至117%,资本消耗速度快于增资节奏,未查得后续详细追踪资料（待確認）,未查得2020年代最新处置结果（待確認）,https://www.nbd.com.cn/articles/2018-07-31/1240165.html,低
信泰人寿,寿险,约2022-2023年（资本压力显现）,2023Q3核心106.27%、综合121.88%（接近监管线）,经营困境、资本消耗、原实际控制人相关风险,2024年1月获批94亿元增资，浙江物产中大等4家地方国资企业入股合计持股51%，成为国资控股企业；2024年末核心117.49%、综合132.48%（充足率回升主要因最低资本下降而非经营改善）,2026年：增资纾困已完成，偿付能力已回归监管线以上，但经营质量改善仍待观察（非“仍不达标”案例，列入作为对照）,https://www.21jingji.com/article/20240125/herald/85fb83fe9aef5d9f85edbaaec2d0fc65.html,中
长安责任保险,财险,2017-2023年累计亏损（严重资不抵债于2023Q3确认）,2023Q3综合、核心偿付能力充足率均为-132.48%，净资产-8.63亿元,长期经营亏损（2017-2023年七年累计净亏损35.64亿元）、资本无法及时补充、增资扩股迟迟未获监管核准,连续6个季度风险综合评级D类；自2023Q3后连续7个季度以上（至2025年）未披露偿付能力报告；2025年密集收到限制高消费令，2025年9月集中裁撤13家分公司,2025-2026年：严重危机持续，基本无法正常运营偿付赔款义务，增资扩股仍待监管核准，尚无“白衣骑士”出现,https://www.sohu.com/a/899750864_122014422,高
三峡人寿,寿险,2024年一季度,风险综合评级D类；核心偿付能力充足率124.9%、综合170.81%（量化指标达标但评级不达标）,风险综合评级不达标（具体公司治理、内控问题细节未查得）,持续多季度不达标；2026年数据显示评级已从D类回升至C类，但仍属不达标,2026Q1-Q2：仍列入不达标名单（评级C类）,搜尋摘要交叉引用,中
长生人寿,寿险,2026年一季度（首次因量化指标不达标）,核心偿付能力充足率45.4%（低于50%）、综合55.5%（低于100%）,量化指标（资本不足）不达标——为2026Q1-Q2唯一一家因量化指标（而非仅评级）不达标的机构,2026年被监管下达强制监管措施（具体措施内容未完全披露）,2026Q2：仍不达标，已被采取强制监管措施,https://baijiahao.baidu.com/s?id=1873921448283567239,高
安华农险,财险,约2025年（连续两期评级C类）,风险综合评级C类（核心、综合偿付能力充足率已达标）,公司治理方面存在风险，连续两期评级C类，受农险业务周期性影响一季度保险风险上升,连续两期以上评级C类,2026Q1-Q2：持续不达标（评级C类）,https://insurance.jrj.com.cn/2026/05/14083057087677.shtml,高
前海财险,财险,约2025-2026年,风险综合评级C类（与“前海人寿”为不同法人主体，勿混淆）,经营尚未实现盈利，导致实际资本逐渐损耗,持续经营亏损,2026Q1-Q2：持续不达标（评级C类）,https://insurance.jrj.com.cn/2026/05/14083057087677.shtml,高
亚太财险,财险,约2025-2026年,风险综合评级C类（核心、综合偿付能力充足率已达标）,风险综合评级不达标具体成因未详细披露（资本层面无明显短板）,持续评级C类,2026Q1-Q2：持续不达标（评级C类）,https://insurance.jrj.com.cn/2026/05/14083057087677.shtml,高
前海人寿,寿险,2024年一季度起,未按期披露偿付能力报告,长期未按期披露（与股东宝能系风险持续相关，具体细节未深入查證）,长期未披露偿付能力报告,截至2025-2026年：仍未见公开披露最新偿付能力报告，情况不明（待確認）,https://www.cls.cn/detail/1689800,中
珠江人寿,寿险,约2023-2024年起,长期未披露偿付能力报告,长期未披露（具体原因未查得）,长期未披露,截至2025-2026年：仍未见公开披露最新偿付能力报告，情况不明（待確認）,搜尋摘要交叉引用,中
阳光信保,财险,2022年,列为偿付能力不达标财产险公司之一（具体指标数值未查得）,细节未深入查证（待確認）,细节未深入查证（待確認）,不明（待確認）,搜尋摘要交叉引用,低
